role,icd_code,icd_version_inferred,chapter,diagnosis,patients
principal,G20,ICD-10,Diseases of the nervous system and sense organs,Parkinson's disease,3
principal,G40209,ICD-10,Diseases of the nervous system and sense organs,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",2
principal,G40401,ICD-10,Diseases of the nervous system and sense organs,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",2
principal,G40909,ICD-10,Diseases of the nervous system and sense organs,"Epilepsy, unspecified, not intractable, without status epilepticus",2
principal,G92,ICD-10,Diseases of the nervous system and sense organs,Toxic encephalopathy,2
principal,G061,ICD-10,Diseases of the nervous system and sense organs,Intraspinal abscess and granuloma,1
principal,G312,ICD-10,Diseases of the nervous system and sense organs,Degeneration of nervous system due to alcohol,1
principal,G371,ICD-10,Diseases of the nervous system and sense organs,Central demyelination of corpus callosum,1
principal,G40109,ICD-10,Diseases of the nervous system and sense organs,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus",1
principal,G4089,ICD-10,Diseases of the nervous system and sense organs,Other seizures,1
principal,G40901,ICD-10,Diseases of the nervous system and sense organs,"Epilepsy, unspecified, not intractable, with status epilepticus",1
principal,G510,ICD-10,Diseases of the nervous system and sense organs,Bell's palsy,1
principal,G610,ICD-10,Diseases of the nervous system and sense organs,Guillain-Barre syndrome,1
principal,G6289,ICD-10,Diseases of the nervous system and sense organs,Other specified polyneuropathies,1
principal,G911,ICD-10,Diseases of the nervous system and sense organs,Obstructive hydrocephalus,1
principal,G935,ICD-10,Diseases of the nervous system and sense organs,Compression of brain,1
principal,G9389,ICD-10,Diseases of the nervous system and sense organs,Other specified disorders of brain,1
principal,H8301,ICD-10,Diseases of the nervous system and sense organs,"Labyrinthitis, right ear",1
principal,486,ICD-9,Diseases of the respiratory system,"Pneumonia, organism unspecified",13
principal,49121,ICD-9,Diseases of the respiratory system,Obstructive chronic bronchitis with (acute) exacerbation,5
principal,5070,ICD-9,Diseases of the respiratory system,Pneumonitis due to inhalation of food or vomitus,5
principal,51881,ICD-9,Diseases of the respiratory system,Acute respiratory failure,3
principal,47819,ICD-9,Diseases of the respiratory system,Other disease of nasal cavity and sinuses,2
principal,4829,ICD-9,Diseases of the respiratory system,"Bacterial pneumonia, unspecified",2
principal,4871,ICD-9,Diseases of the respiratory system,Influenza with other respiratory manifestations,2
principal,49322,ICD-9,Diseases of the respiratory system,Chronic obstructive asthma with (acute) exacerbation,2
principal,51181,ICD-9,Diseases of the respiratory system,Malignant pleural effusion,2
principal,515,ICD-9,Diseases of the respiratory system,Postinflammatory pulmonary fibrosis,2
principal,51631,ICD-9,Diseases of the respiratory system,Idiopathic pulmonary fibrosis,2
principal,51889,ICD-9,Diseases of the respiratory system,"Other diseases of lung, not elsewhere classified",2
principal,4660,ICD-9,Diseases of the respiratory system,Acute bronchitis,1
principal,49390,ICD-9,Diseases of the respiratory system,"Asthma, unspecified type, unspecified",1
principal,49392,ICD-9,Diseases of the respiratory system,"Asthma, unspecified type, with (acute) exacerbation",1
principal,5110,ICD-9,Diseases of the respiratory system,Pleurisy without mention of effusion or current tuberculosis,1
principal,5119,ICD-9,Diseases of the respiratory system,Unspecified pleural effusion,1
principal,5120,ICD-9,Diseases of the respiratory system,Spontaneous tension pneumothorax,1
principal,5121,ICD-9,Diseases of the respiratory system,Iatrogenic pneumothorax,1
principal,51883,ICD-9,Diseases of the respiratory system,Chronic respiratory failure,1
principal,51884,ICD-9,Diseases of the respiratory system,Acute and chronic respiratory failure,1
principal,J189,ICD-10,Diseases of the respiratory system,"Pneumonia, unspecified organism",5
principal,J439,ICD-10,Diseases of the respiratory system,"Emphysema, unspecified",2
principal,J982,ICD-10,Diseases of the respiratory system,Interstitial emphysema,2
principal,J0100,ICD-10,Diseases of the respiratory system,"Acute maxillary sinusitis, unspecified",1
principal,J1008,ICD-10,Diseases of the respiratory system,Influenza due to other identified influenza virus with other specified pneumonia,1
principal,J101,ICD-10,Diseases of the respiratory system,Influenza due to other identified influenza virus with other respiratory manifestations,1
principal,J1082,ICD-10,Diseases of the respiratory system,Influenza due to other identified influenza virus with myocarditis,1
principal,J13,ICD-10,Diseases of the respiratory system,Pneumonia due to Streptococcus pneumoniae,1
principal,J441,ICD-10,Diseases of the respiratory system,Chronic obstructive pulmonary disease with (acute) exacerbation,1
principal,J45901,ICD-10,Diseases of the respiratory system,Unspecified asthma with (acute) exacerbation,1
principal,J45909,ICD-10,Diseases of the respiratory system,"Unspecified asthma, uncomplicated",1
principal,J8410,ICD-10,Diseases of the respiratory system,"Pulmonary fibrosis, unspecified",1
principal,J853,ICD-10,Diseases of the respiratory system,Abscess of mediastinum,1
principal,J90,ICD-10,Diseases of the respiratory system,"Pleural effusion, not elsewhere classified",1
principal,J9381,ICD-10,Diseases of the respiratory system,Chronic pneumothorax,1
principal,J9382,ICD-10,Diseases of the respiratory system,Other air leak,1
principal,J939,ICD-10,Diseases of the respiratory system,"Pneumothorax, unspecified",1
principal,J9503,ICD-10,Diseases of the respiratory system,Malfunction of tracheostomy stoma,1
principal,J9601,ICD-10,Diseases of the respiratory system,Acute respiratory failure with hypoxia,1
principal,J9622,ICD-10,Diseases of the respiratory system,Acute and chronic respiratory failure with hypercapnia,1
principal,6826,ICD-9,Diseases of the skin and subcutaneous tissue,"Cellulitis and abscess of leg, except foot",8
principal,6823,ICD-9,Diseases of the skin and subcutaneous tissue,Cellulitis and abscess of upper arm and forearm,4
principal,6822,ICD-9,Diseases of the skin and subcutaneous tissue,Cellulitis and abscess of trunk,2
principal,6824,ICD-9,Diseases of the skin and subcutaneous tissue,"Cellulitis and abscess of hand, except fingers and thumb",2
principal,6827,ICD-9,Diseases of the skin and subcutaneous tissue,"Cellulitis and abscess of foot, except toes",2
principal,6820,ICD-9,Diseases of the skin and subcutaneous tissue,Cellulitis and abscess of face,1
principal,6825,ICD-9,Diseases of the skin and subcutaneous tissue,Cellulitis and abscess of buttock,1
principal,6930,ICD-9,Diseases of the skin and subcutaneous tissue,Dermatitis due to drugs and medicines taken internally,1
principal,70583,ICD-9,Diseases of the skin and subcutaneous tissue,Hidradenitis,1
principal,70706,ICD-9,Diseases of the skin and subcutaneous tissue,"Pressure ulcer, ankle",1
principal,70724,ICD-9,Diseases of the skin and subcutaneous tissue,"Pressure ulcer, stage IV",1
principal,7092,ICD-9,Diseases of the skin and subcutaneous tissue,Scar conditions and fibrosis of skin,1
principal,L02413,ICD-10,Diseases of the skin and subcutaneous tissue,Cutaneous abscess of right upper limb,1
principal,L02612,ICD-10,Diseases of the skin and subcutaneous tissue,Cutaneous abscess of left foot,1
principal,L03113,ICD-10,Diseases of the skin and subcutaneous tissue,Cellulitis of right upper limb,1
principal,L03115,ICD-10,Diseases of the skin and subcutaneous tissue,Cellulitis of right lower limb,1
principal,L732,ICD-10,Diseases of the skin and subcutaneous tissue,Hidradenitis suppurativa,1
principal,E6601,ICD-10,"Endocrine, nutritional and metabolic diseases",Morbid (severe) obesity due to excess calories,11
principal,E1010,ICD-10,"Endocrine, nutritional and metabolic diseases",Type 1 diabetes mellitus with ketoacidosis without coma,6
principal,E1151,ICD-10,"Endocrine, nutritional and metabolic diseases",Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,5
principal,E222,ICD-10,"Endocrine, nutritional and metabolic diseases",Syndrome of inappropriate secretion of antidiuretic hormone,3
principal,E1042,ICD-10,"Endocrine, nutritional and metabolic diseases",Type 1 diabetes mellitus with diabetic polyneuropathy,1
principal,E1110,ICD-10,"Endocrine, nutritional and metabolic diseases",Type 2 diabetes mellitus with ketoacidosis without coma,1
principal,E1122,ICD-10,"Endocrine, nutritional and metabolic diseases",Type 2 diabetes mellitus with diabetic chronic kidney disease,1
principal,E1152,ICD-10,"Endocrine, nutritional and metabolic diseases",Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,1
principal,E11649,ICD-10,"Endocrine, nutritional and metabolic diseases",Type 2 diabetes mellitus with hypoglycemia without coma,1
principal,E1165,ICD-10,"Endocrine, nutritional and metabolic diseases",Type 2 diabetes mellitus with hyperglycemia,1
principal,E162,ICD-10,"Endocrine, nutritional and metabolic diseases","Hypoglycemia, unspecified",1
principal,E43,ICD-10,"Endocrine, nutritional and metabolic diseases",Unspecified severe protein-calorie malnutrition,1
principal,E65,ICD-10,"Endocrine, nutritional and metabolic diseases",Localized adiposity,1
principal,27801,ICD-9,"Endocrine, nutritional and metabolic diseases",Morbid obesity,7
principal,25013,ICD-9,"Endocrine, nutritional and metabolic diseases","Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",3
principal,2761,ICD-9,"Endocrine, nutritional and metabolic diseases",Hyposmolality and/or hyponatremia,3
principal,2411,ICD-9,"Endocrine, nutritional and metabolic diseases",Nontoxic multinodular goiter,2
principal,25080,ICD-9,"Endocrine, nutritional and metabolic diseases","Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",2
principal,27651,ICD-9,"Endocrine, nutritional and metabolic diseases",Dehydration,2
principal,2767,ICD-9,"Endocrine, nutritional and metabolic diseases",Hyperpotassemia,2
principal,24201,ICD-9,"Endocrine, nutritional and metabolic diseases",Toxic diffuse goiter with mention of thyrotoxic crisis or storm,1
principal,24290,ICD-9,"Endocrine, nutritional and metabolic diseases","Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",1
principal,24900,ICD-9,"Endocrine, nutritional and metabolic diseases","Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",1
principal,25012,ICD-9,"Endocrine, nutritional and metabolic diseases","Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",1
principal,25040,ICD-9,"Endocrine, nutritional and metabolic diseases","Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",1
principal,25060,ICD-9,"Endocrine, nutritional and metabolic diseases","Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",1
principal,25062,ICD-9,"Endocrine, nutritional and metabolic diseases","Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",1
principal,25072,ICD-9,"Endocrine, nutritional and metabolic diseases","Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled",1
principal,25082,ICD-9,"Endocrine, nutritional and metabolic diseases","Diabetes with other specified manifestations, type II or unspecified type, uncontrolled",1
principal,25201,ICD-9,"Endocrine, nutritional and metabolic diseases",Primary hyperparathyroidism,1
principal,2536,ICD-9,"Endocrine, nutritional and metabolic diseases",Other disorders of neurohypophysis,1
principal,2631,ICD-9,"Endocrine, nutritional and metabolic diseases",Malnutrition of mild degree,1
principal,27542,ICD-9,"Endocrine, nutritional and metabolic diseases",Hypercalcemia,1
principal,27652,ICD-9,"Endocrine, nutritional and metabolic diseases",Hypovolemia,1
principal,2768,ICD-9,"Endocrine, nutritional and metabolic diseases",Hypopotassemia,1
principal,27800,ICD-9,"Endocrine, nutritional and metabolic diseases","Obesity, unspecified",1
principal,E854,ICD-9,External causes of morbidity,Organ-limited amyloidosis,1
principal,E871,ICD-9,External causes of morbidity,Hypo-osmolality and hyponatremia,1
principal,E872,ICD-9,External causes of morbidity,Acidosis,1
principal,E875,ICD-9,External causes of morbidity,Hyperkalemia,1
principal,E8881,ICD-9,External causes of morbidity,Metabolic syndrome,1
principal,V5841,ICD-10,External causes of morbidity,Encounter for planned post-operative wound closure,1
principal,Z5111,ICD-10,Factors influencing health status and contact with health services,Encounter for antineoplastic chemotherapy,5
principal,Z432,ICD-10,Factors influencing health status and contact with health services,Encounter for attention to ileostomy,3
principal,Z421,ICD-10,Factors influencing health status and contact with health services,Encounter for breast reconstruction following mastectomy,1
principal,Z4733,ICD-10,Factors influencing health status and contact with health services,Aftercare following explantation of knee joint prosthesis,1
principal,Z5112,ICD-10,Factors influencing health status and contact with health services,Encounter for antineoplastic immunotherapy,1
principal,V707,ICD-9,Factors influencing health status and contact with health services,Examination of participant in clinical trial,3
principal,V071,ICD-9,Factors influencing health status and contact with health services,Need for desensitization to allergens,1
principal,A419,ICD-10,Infectious and parasitic diseases,"Sepsis, unspecified organism",18
principal,A4151,ICD-10,Infectious and parasitic diseases,Sepsis due to Escherichia coli [E. coli],4
principal,A4189,ICD-10,Infectious and parasitic diseases,Other specified sepsis,4
principal,A408,ICD-10,Infectious and parasitic diseases,Other streptococcal sepsis,2
principal,A4181,ICD-10,Infectious and parasitic diseases,Sepsis due to Enterococcus,2
principal,A021,ICD-10,Infectious and parasitic diseases,Salmonella sepsis,1
principal,A4101,ICD-10,Infectious and parasitic diseases,Sepsis due to Methicillin susceptible Staphylococcus aureus,1
principal,A4159,ICD-10,Infectious and parasitic diseases,Other Gram-negative sepsis,1
principal,A5149,ICD-10,Infectious and parasitic diseases,Other secondary syphilitic conditions,1
principal,A849,ICD-10,Infectious and parasitic diseases,"Tick-borne viral encephalitis, unspecified",1
principal,B029,ICD-10,Infectious and parasitic diseases,Zoster without complications,1
principal,B04,ICD-10,Infectious and parasitic diseases,Monkeypox,1
principal,B2709,ICD-10,Infectious and parasitic diseases,Gammaherpesviral mononucleosis with other complications,1
principal,0389,ICD-9,Infectious and parasitic diseases,Unspecified septicemia,14
principal,00845,ICD-9,Infectious and parasitic diseases,Intestinal infection due to Clostridium difficile,6
principal,0380,ICD-9,Infectious and parasitic diseases,Streptococcal septicemia,4
principal,03842,ICD-9,Infectious and parasitic diseases,Septicemia due to escherichia coli [E. coli],4
principal,0090,ICD-9,Infectious and parasitic diseases,"Infectious colitis, enteritis, and gastroenteritis",2
principal,03811,ICD-9,Infectious and parasitic diseases,Methicillin susceptible Staphylococcus aureus septicemia,2
principal,03812,ICD-9,Infectious and parasitic diseases,Methicillin resistant Staphylococcus aureus septicemia,2
principal,0479,ICD-9,Infectious and parasitic diseases,Unspecified viral meningitis,2
principal,08881,ICD-9,Infectious and parasitic diseases,Lyme Disease,2
principal,0020,ICD-9,Infectious and parasitic diseases,Typhoid fever,1
principal,00843,ICD-9,Infectious and parasitic diseases,Intestinal infection due to campylobacter,1
principal,0088,ICD-9,Infectious and parasitic diseases,"Intestinal infection due to other organism, not elsewhere classified",1
principal,0310,ICD-9,Infectious and parasitic diseases,Pulmonary diseases due to other mycobacteria,1
principal,03843,ICD-9,Infectious and parasitic diseases,Septicemia due to pseudomonas,1
principal,03849,ICD-9,Infectious and parasitic diseases,Other septicemia due to gram-negative organisms,1
principal,042,ICD-9,Infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,1
principal,0529,ICD-9,Infectious and parasitic diseases,Varicella without mention of complication,1
principal,0539,ICD-9,Infectious and parasitic diseases,Herpes zoster without mention of complication,1
principal,0661,ICD-9,Infectious and parasitic diseases,Tick-borne fever,1
principal,0949,ICD-9,Infectious and parasitic diseases,"Neurosyphilis, unspecified",1
principal,0979,ICD-9,Infectious and parasitic diseases,"Syphilis, unspecified",1
principal,11284,ICD-9,Infectious and parasitic diseases,Candidal esophagitis,1
principal,99859,ICD-9,Injury and poisoning,Other postoperative infection,10
principal,8082,ICD-9,Injury and poisoning,Closed fracture of pubis,5
principal,80121,ICD-9,Injury and poisoning,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",4
principal,80126,ICD-9,Injury and poisoning,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",4
principal,8054,ICD-9,Injury and poisoning,Closed fracture of lumbar vertebra without mention of spinal cord injury,4
principal,81342,ICD-9,Injury and poisoning,Other closed fractures of distal end of radius (alone),4
principal,82300,ICD-9,Injury and poisoning,Closed fracture of upper end of tibia alone,4
principal,85221,ICD-9,Injury and poisoning,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",3
principal,9654,ICD-9,Injury and poisoning,"Poisoning by aromatic analgesics, not elsewhere classified",3
principal,99649,ICD-9,Injury and poisoning,"Other mechanical complication of other internal orthopedic device, implant, and graft",3
principal,99662,ICD-9,Injury and poisoning,"Infection and inflammatory reaction due to other vascular device, implant, and graft",3
principal,9974,ICD-9,Injury and poisoning,"Digestive system complications, not elsewhere classified",3
principal,99812,ICD-9,Injury and poisoning,Hematoma complicating a procedure,3
principal,9982,ICD-9,Injury and poisoning,"Accidental puncture or laceration during a procedure, not elsewhere classified",3
principal,99932,ICD-9,Injury and poisoning,Bloodstream infection due to central venous catheter,3
principal,80222,ICD-9,Injury and poisoning,"Closed fracture of mandible, subcondylar",2
principal,80502,ICD-9,Injury and poisoning,Closed fracture of second cervical vertebra,2
principal,8052,ICD-9,Injury and poisoning,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury,2
principal,80702,ICD-9,Injury and poisoning,Closed fracture of two ribs,2
principal,81321,ICD-9,Injury and poisoning,Closed fracture of shaft of radius (alone),2
principal,82021,ICD-9,Injury and poisoning,Closed fracture of intertrochanteric section of neck of femur,2
principal,8208,ICD-9,Injury and poisoning,Closed fracture of unspecified part of neck of femur,2
principal,82101,ICD-9,Injury and poisoning,Closed fracture of shaft of femur,2
principal,82320,ICD-9,Injury and poisoning,Closed fracture of shaft of tibia alone,2
principal,82322,ICD-9,Injury and poisoning,Closed fracture of shaft of fibula with tibia,2
principal,8248,ICD-9,Injury and poisoning,"Unspecified fracture of ankle, closed",2
principal,85182,ICD-9,Injury and poisoning,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",2
principal,86503,ICD-9,Injury and poisoning,"Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma",2
principal,86803,ICD-9,Injury and poisoning,"Injury to other intra-abdominal organs without mention of open wound into cavity, peritoneum",2
principal,8730,ICD-9,Injury and poisoning,"Open wound of scalp, without mention of complication",2
principal,96501,ICD-9,Injury and poisoning,Poisoning by heroin,2
principal,99642,ICD-9,Injury and poisoning,Dislocation of prosthetic joint,2
principal,99664,ICD-9,Injury and poisoning,Infection and inflammatory reaction due to indwelling urinary catheter,2
principal,99667,ICD-9,Injury and poisoning,"Infection and inflammatory reaction due to other internal orthopedic device, implant, and graft",2
principal,99672,ICD-9,Injury and poisoning,"Other complications due to other cardiac device, implant, and graft",2
principal,99674,ICD-9,Injury and poisoning,"Other complications due to other vascular device, implant, and graft",2
principal,99681,ICD-9,Injury and poisoning,Complications of transplanted kidney,2
principal,99749,ICD-9,Injury and poisoning,Other digestive system complications,2
principal,99832,ICD-9,Injury and poisoning,Disruption of external operation (surgical) wound,2
principal,80102,ICD-9,Injury and poisoning,"Closed fracture of base of skull without mention of intra cranial injury, with brief [less than one hour] loss of consciousness",1
principal,80112,ICD-9,Injury and poisoning,"Closed fracture of base of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness",1
principal,80115,ICD-9,Injury and poisoning,"Closed fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",1
principal,8024,ICD-9,Injury and poisoning,Closed fracture of malar and maxillary bones,1
principal,80506,ICD-9,Injury and poisoning,Closed fracture of sixth cervical vertebra,1
principal,80639,ICD-9,Injury and poisoning,Open fracture of T7-T12 level with other specified spinal cord injury,1
principal,80703,ICD-9,Injury and poisoning,Closed fracture of three ribs,1
principal,8072,ICD-9,Injury and poisoning,Closed fracture of sternum,1
principal,8080,ICD-9,Injury and poisoning,Closed fracture of acetabulum,1
principal,8088,ICD-9,Injury and poisoning,Closed unspecified fracture of pelvis,1
principal,81002,ICD-9,Injury and poisoning,Closed fracture of shaft of clavicle,1
principal,81201,ICD-9,Injury and poisoning,Closed fracture of surgical neck of humerus,1
principal,81221,ICD-9,Injury and poisoning,Closed fracture of shaft of humerus,1
principal,81241,ICD-9,Injury and poisoning,Closed supracondylar fracture of humerus,1
principal,81243,ICD-9,Injury and poisoning,Closed fracture of medial condyle of humerus,1
principal,81305,ICD-9,Injury and poisoning,Closed fracture of head of radius,1
principal,81315,ICD-9,Injury and poisoning,Open fracture of head of radius,1
principal,81344,ICD-9,Injury and poisoning,Closed fracture of lower end of radius with ulna,1
principal,82009,ICD-9,Injury and poisoning,Other closed transcervical fracture of neck of femur,1
principal,82022,ICD-9,Injury and poisoning,Closed fracture of subtrochanteric section of neck of femur,1
principal,82111,ICD-9,Injury and poisoning,Open fracture of shaft of femur,1
principal,82122,ICD-9,Injury and poisoning,"Closed fracture of epiphysis, lower (separation) of femur",1
principal,82123,ICD-9,Injury and poisoning,Closed supracondylar fracture of femur,1
principal,82302,ICD-9,Injury and poisoning,Closed fracture of upper end of fibula with tibia,1
principal,82332,ICD-9,Injury and poisoning,Open fracture of shaft of fibula with tibia,1
principal,82392,ICD-9,Injury and poisoning,Open fracture of unspecified part of fibula with tibia,1
principal,8242,ICD-9,Injury and poisoning,"Fracture of lateral malleolus, closed",1
principal,8246,ICD-9,Injury and poisoning,"Trimalleolar fracture, closed",1
principal,83651,ICD-9,Injury and poisoning,"Anterior dislocation of tibia, proximal end, closed",1
principal,85102,ICD-9,Injury and poisoning,"Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",1
principal,85181,ICD-9,Injury and poisoning,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness",1
principal,85186,ICD-9,Injury and poisoning,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration",1
principal,85200,ICD-9,Injury and poisoning,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",1
principal,85201,ICD-9,Injury and poisoning,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",1
principal,85202,ICD-9,Injury and poisoning,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",1
principal,85203,ICD-9,Injury and poisoning,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",1
principal,85211,ICD-9,Injury and poisoning,"Subarachnoid hemorrhage following injury with open intracranial wound, with no loss of consciousness",1
principal,85226,ICD-9,Injury and poisoning,"Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",1
principal,85302,ICD-9,Injury and poisoning,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",1
principal,86400,ICD-9,Injury and poisoning,"Injury to liver without mention of open wound into cavity, unspecified injury",1
principal,86403,ICD-9,Injury and poisoning,"Injury to liver without mention of open wound into cavity, laceration, moderate",1
principal,86404,ICD-9,Injury and poisoning,"Injury to liver without mention of open wound into cavity, laceration, major",1
principal,86810,ICD-9,Injury and poisoning,"Injury to other intra-abdominal organs with open wound into cavity, unspecified intra-abdominal organ",1
principal,87343,ICD-9,Injury and poisoning,"Open wound of lip, without mention of complication",1
principal,87353,ICD-9,Injury and poisoning,"Open wound of lip, complicated",1
principal,87361,ICD-9,Injury and poisoning,"Open wound of buccal mucosa, without mention of complication",1
principal,8748,ICD-9,Injury and poisoning,"Open wound of other and unspecified parts of neck, without mention of complication",1
principal,8760,ICD-9,Injury and poisoning,"Open wound of back, without mention of complication",1
principal,8901,ICD-9,Injury and poisoning,"Open wound of hip and thigh, complicated",1
principal,8911,ICD-9,Injury and poisoning,"Open wound of knee, leg [except thigh], and ankle, complicated",1
principal,8912,ICD-9,Injury and poisoning,"Open wound of knee, leg [except thigh], and ankle, with tendon involvement",1
principal,90442,ICD-9,Injury and poisoning,Injury to popliteal vein,1
principal,9222,ICD-9,Injury and poisoning,Contusion of abdominal wall,1
principal,9224,ICD-9,Injury and poisoning,Contusion of genital organs,1
principal,92720,ICD-9,Injury and poisoning,Crushing injury of hand(s),1
principal,9582,ICD-9,Injury and poisoning,Secondary and recurrent hemorrhage,1
principal,9623,ICD-9,Injury and poisoning,Poisoning by insulins and antidiabetic agents,1
principal,9651,ICD-9,Injury and poisoning,Poisoning by salicylates,1
principal,96909,ICD-9,Injury and poisoning,Poisoning by other antidepressants,1
principal,9712,ICD-9,Injury and poisoning,Poisoning by sympathomimetics [adrenergics],1
principal,9729,ICD-9,Injury and poisoning,Poisoning by other and unspecified agents primarily affecting the cardiovascular system,1
principal,9828,ICD-9,Injury and poisoning,Toxic effect of other nonpetroleum-based solvents,1
principal,9911,ICD-9,Injury and poisoning,Frostbite of hand,1
principal,9951,ICD-9,Injury and poisoning,"Angioneurotic edema, not elsewhere classified",1
principal,99601,ICD-9,Injury and poisoning,Mechanical complication due to cardiac pacemaker (electrode),1
principal,99640,ICD-9,Injury and poisoning,"Unspecified mechanical complication of internal orthopedic device, implant, and graft",1
principal,99659,ICD-9,Injury and poisoning,"Mechanical complication due to other implant and internal device, not elsewhere classified",1
principal,99665,ICD-9,Injury and poisoning,"Infection and inflammatory reaction due to other genitourinary device, implant, and graft",1
principal,99669,ICD-9,Injury and poisoning,"Infection and inflammatory reaction due to other internal prosthetic device, implant, and graft",1
principal,99678,ICD-9,Injury and poisoning,"Other complications due to other internal orthopedic device, implant, and graft",1
principal,99679,ICD-9,Injury and poisoning,"Other complications due to other internal prosthetic device, implant, and graft",1
principal,99685,ICD-9,Injury and poisoning,Complications of transplanted bone marrow,1
principal,9971,ICD-9,Injury and poisoning,"Cardiac complications, not elsewhere classified",1
principal,9972,ICD-9,Injury and poisoning,"Peripheral vascular complications, not elsewhere classified",1
principal,99779,ICD-9,Injury and poisoning,Vascular complications of other vessels,1
principal,99813,ICD-9,Injury and poisoning,Seroma complicating a procedure,1
principal,99851,ICD-9,Injury and poisoning,Infected postoperative seroma,1
principal,9992,ICD-9,Injury and poisoning,"Other vascular complications of medical care, not elsewhere classified",1
principal,T814XXA,ICD-10,Injury and poisoning,"Infection following a procedure, initial encounter",6
principal,S065X0A,ICD-10,Injury and poisoning,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter",3
principal,S2242XA,ICD-10,Injury and poisoning,"Multiple fractures of ribs, left side, initial encounter for closed fracture",3
principal,T8579XA,ICD-10,Injury and poisoning,"Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts, initial encounter",3
principal,S065X9A,ICD-10,Injury and poisoning,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter",2
principal,S7221XA,ICD-10,Injury and poisoning,"Displaced subtrochanteric fracture of right femur, initial encounter for closed fracture",2
principal,S82141A,ICD-10,Injury and poisoning,"Displaced bicondylar fracture of right tibia, initial encounter for closed fracture",2
principal,S82142A,ICD-10,Injury and poisoning,"Displaced bicondylar fracture of left tibia, initial encounter for closed fracture",2
principal,S82872A,ICD-10,Injury and poisoning,"Displaced pilon fracture of left tibia, initial encounter for closed fracture",2
principal,T8203XA,ICD-10,Injury and poisoning,"Leakage of heart valve prosthesis, initial encounter",2
principal,T82855A,ICD-10,Injury and poisoning,"Stenosis of coronary artery stent, initial encounter",2
principal,T84622A,ICD-10,Injury and poisoning,"Infection and inflammatory reaction due to internal fixation device of right tibia, initial encounter",2
principal,S062X0A,ICD-10,Injury and poisoning,"Diffuse traumatic brain injury without loss of consciousness, initial encounter",1
principal,S06329A,ICD-10,Injury and poisoning,"Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, initial encounter",1
principal,S064X9A,ICD-10,Injury and poisoning,"Epidural hemorrhage with loss of consciousness of unspecified duration, initial encounter",1
principal,S065X1A,ICD-10,Injury and poisoning,"Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",1
principal,S066X0A,ICD-10,Injury and poisoning,"Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter",1
principal,S1194XA,ICD-10,Injury and poisoning,"Puncture wound with foreign body of unspecified part of neck, initial encounter",1
principal,S12110A,ICD-10,Injury and poisoning,"Anterior displaced Type II dens fracture, initial encounter for closed fracture",1
